time,j0,j1,j2,j3,j4,j5,x,y,z
0.0000,1.20699,-1.26080,-1.78961,1.78603,-0.53473,3.86268,-0.31037,0.09536,0.02927
0.0131,1.20697,-1.26077,-1.78938,1.78534,-0.53548,3.86413,-0.31045,0.09537,0.02930
0.1112,1.20739,-1.26115,-1.78919,1.78433,-0.53369,3.86511,-0.31041,0.09527,0.02915
0.2109,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
0.3097,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
0.4103,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
0.5151,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
0.6143,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
0.7104,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
0.8109,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
0.9111,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
1.0107,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
1.1110,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
1.2111,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
1.3112,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
1.4102,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
1.5102,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
1.6107,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
1.7123,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
1.8108,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
1.9109,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
2.0103,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
2.1096,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
2.2101,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
2.3101,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
2.4104,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
2.5107,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
2.6112,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
2.7110,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
2.8104,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
2.9104,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
3.0100,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
3.1101,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
3.2103,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
3.3108,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
3.4111,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
3.5110,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
3.6107,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
3.7097,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
3.8102,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
3.9110,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
4.0172,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
4.1111,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
4.2105,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
4.3115,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
4.4113,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
4.5096,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
4.6112,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
4.7100,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
4.8110,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
4.9117,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
5.0107,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
5.1119,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
5.2118,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
5.3102,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
5.4112,1.20739,-1.26119,-1.78891,1.78420,-0.53372,3.86495,-0.31049,0.09530,0.02914
